female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
0,1,0,0,0,6,39,6,3,0,1,4,5,4,2,5,5,2,3,2,1,3,3,2,3,4,1,1,1,4.406719247,Exposed,3.6,2.2,0.4
0,1,0,0,0,5,52,11,4,1,0,1,5,1,2,2,3,3,2,1,2,3,3,3,2,4,0,0,0,7.18690102,Not exposed,2.2,2.4,0.482938253
1,0,0,1,0,3,21,10,1,1,0,1,4,2,2,2,2,2,2,2,3,3,3,3,2,4,1,1,1,6.293419279,Exposed,2,2.8,3.214355248
1,1,0,0,0,6,59,10,1,1,0,1,5,1,1,2,3,3,1,2,3,3,4,3,1,4,1,0,0,6.202535517,Exposed,2,3,0.4
0,1,0,0,0,6,55,12,2,1,0,2,5,2,2,2,3,3,1,3,3,4,4,3,2,4,0,0,0,0,Not exposed,2.4,3.4,0.4
0,1,0,0,0,6,44,12,4,1,0,2,4,1,2,2,4,5,1,1,3,4,5,5,1,4,0,0,0,5.379897354,Not exposed,2.8,3.6,0.478030831
0,1,0,0,0,5,60,14,4,1,0,1,5,1,1,2,3,3,2,1,2,2,4,3,3,4,1,1,0,7.325148958,Exposed,2,2.4,0.482938253
0,1,0,0,0,6,36,13,1,0,1,4,5,5,3,5,5,4,2,4,3,4,4,4,4,4,0,1,0,2.397895273,Not exposed,4.4,3.8,0.4
1,1,0,0,0,5,54,9,2,0,1,4,5,5,3,3,4,3,4,4,3,3,4,3,4,3,1,1,0,5.940171253,Exposed,3.6,3.4,0.52441144
1,1,0,0,0,6,41,7,4,1,0,1,2,1,1,3,3,2,1,2,2,3,3,3,1,3,0,0,0,5.905361848,Not exposed,2,2.6,0.684826779
0,1,0,0,0,3,37,10,2,0,1,5,4,3,3,3,3,3,3,3,3,3,4,3,3,3,1,1,1,7.569411792,Exposed,3,3.2,0.785101456
0,1,0,0,0,4,59,4,4,0,1,5,4,3,2,3,4,3,3,3,3,3,4,3,3,3,0,1,1,7.123672785,Exposed,3,3.2,0.510707207
1,1,0,0,0,2,36,2,2,0,1,5,2,5,3,5,5,2,4,5,3,5,5,2,3,1,0,0,0,0,Not exposed,4,4,3.024766273
0,0,1,0,0,6,55,4,1,1,0,2,4,3,3,3,3,3,2,3,3,4,5,4,2,3,1,1,0,4.836281907,Not exposed,3,3.8,0.4
0,1,0,0,0,1,58,10,4,0,1,5,5,4,2,5,5,3,3,5,1,4,5,4,4,4,1,1,0,6.124683391,Not exposed,3.8,3.8,4
0,1,0,0,0,6,33,6,3,1,0,1,4,2,2,2,1,1,1,1,1,2,1,1,2,4,1,0,0,8.196161139,Exposed,1.6,1.2,0.4
0,1,0,0,0,6,35,9,4,1,0,5,4,2,3,1,4,3,2,2,4,4,3,3,3,3,1,0,0,8.713253274,Exposed,2.6,3.2,0.478030831
0,1,0,0,0,1,59,2,3,0,1,5,3,4,3,4,4,3,4,5,2,2,4,3,3,2,0,0,0,4.859812404,Not exposed,3.6,3.2,2.744954263
1,1,0,0,0,6,31,9,1,1,0,1,5,2,3,3,3,3,2,2,3,4,4,3,2,4,1,1,0,6.577861358,Exposed,2.8,3.2,0.4
0,1,0,0,0,3,19,10,1,1,0,2,5,1,3,3,4,2,2,2,3,4,3,3,1,4,1,1,0,7.247792582,Exposed,2.6,3,0.4
1,0,1,0,0,1,51,2,1,0,1,3,4,4,4,4,4,4,1,4,4,4,4,4,1,4,1,0,0,5.641907071,Not exposed,4,4,4
1,0,1,0,0,2,34,2,3,1,0,2,2,2,3,3,2,4,2,3,3,3,5,4,2,3,0,1,0,4.564348191,Not exposed,2.8,3.6,2.774311921
1,0,0,0,1,5,30,8,3,0,1,1,5,3,2,2,2,3,2,3,3,2,4,3,3,3,0,1,0,6.508769137,Not exposed,2.4,3,0.870509591
1,1,0,0,0,6,39,11,1,1,0,1,5,1,1,2,4,3,1,3,2,3,4,3,1,4,1,0,0,4.86753445,Not exposed,2.2,3,0.4
0,1,0,0,0,2,46,6,3,0,1,5,5,5,4,4,4,3,2,5,5,5,5,5,2,2,1,0,0,6.613384218,Not exposed,4,5,0.889550171
0,1,0,0,0,6,24,7,2,1,0,1,5,1,2,2,3,2,1,1,1,3,3,2,1,4,0,1,0,8.942460927,Exposed,2,2,0.4
0,0,1,0,0,3,37,2,3,1,0,2,4,1,2,2,3,2,2,1,1,1,3,2,2,4,0,0,0,4.17438727,Not exposed,2,1.6,0.720806755
0,0,0,0,1,5,32,7,2,0,1,5,5,3,2,3,4,4,3,3,3,3,4,4,3,4,1,1,0,6.513230111,Exposed,3.2,3.4,1.03622512
0,1,0,0,0,4,40,4,4,0,1,5,4,3,3,3,4,4,2,3,3,3,4,4,3,4,1,0,0,4.795790546,Exposed,3.4,3.4,0.700874796
1,1,0,0,0,6,43,16,3,0,1,5,5,3,3,3,3,2,3,3,3,3,4,2,3,4,0,1,0,5.811140993,Exposed,2.8,3,0.4
0,1,0,0,0,2,64,8,3,0,1,4,5,3,3,4,4,4,2,3,3,4,5,3,3,4,1,1,1,7.220373837,Exposed,3.6,3.6,0.889550171
1,1,0,0,0,3,28,4,3,0,1,5,4,5,5,4,5,4,2,5,4,3,5,2,2,4,1,0,0,6.255750042,Exposed,4.6,3.8,0.660000057
1,0,0,0,0,5,54,4,3,1,0,1,4,1,1,2,3,2,2,1,2,3,4,3,2,4,0,0,0,5.874930731,Not exposed,1.8,2.6,0.4
1,1,0,0,0,1,27,1,3,0,1,5,3,2,2,2,2,2,4,1,1,1,1,1,4,3,0,0,0,6.80461452,Exposed,2,1,4
1,1,0,0,0,3,21,11,3,1,0,2,4,2,2,2,3,2,3,2,3,2,3,3,3,3,1,1,0,6.533788838,Exposed,2.2,2.6,0.522859234
1,1,0,0,0,2,20,11,3,1,0,1,4,1,2,2,3,4,3,2,2,3,4,2,2,3,0,0,0,4.025351691,Not exposed,2.4,2.6,1.391467119
1,0,0,1,0,5,23,11,3,1,0,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,1,1,0,5.093750201,Exposed,2.8,2.8,2.166666178
1,1,0,0,0,2,21,2,2,0,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,0,0,0,2.302585093,Not exposed,3,3,2.387477855
0,1,0,0,0,2,70,3,2,0,1,5,3,5,4,4,4,4,3,5,2,1,5,2,3,3,0,1,1,7.217443432,Exposed,4.2,3,3.981321009
0,1,0,0,0,2,53,1,1,0,1,3,3,5,1,5,5,3,3,5,1,5,5,3,4,4,1,1,0,5.726847748,Exposed,3.8,3.8,0.83927308
0,1,0,0,0,4,40,6,2,0,1,5,5,5,3,5,5,5,3,4,2,5,3,4,2,4,1,1,1,7.520776415,Exposed,4.6,3.6,0.531169203
0,1,0,0,0,3,71,4,2,0,1,4,5,4,4,4,5,4,3,5,4,4,5,5,3,4,1,1,1,5.241747015,Exposed,4.2,4.6,1.482458985
0,0,0,0,1,6,51,12,1,1,0,1,4,1,2,2,2,3,2,1,3,3,3,3,2,4,0,0,0,7.089243155,Not exposed,2,2.6,0.4
1,1,0,0,0,5,64,12,3,0,1,5,3,4,3,2,1,2,1,3,2,1,2,3,1,3,0,0,0,6.466144724,Not exposed,2.4,2.2,0.4
0,1,0,0,0,3,57,4,4,0,1,5,3,4,3,4,4,3,4,4,3,4,5,3,4,4,0,1,1,6.96979067,Exposed,3.6,3.8,0.754639337
0,0,1,0,0,5,58,11,3,1,0,2,5,1,1,2,3,2,2,1,2,2,2,1,2,4,1,0,0,6.476972363,Not exposed,1.8,1.6,0.4
0,0,0,0,0,4,40,6,3,0,1,4,4,3,4,4,5,2,3,3,3,4,5,2,2,3,1,0,0,4.770684624,Not exposed,3.6,3.4,0.4
0,0,0,0,1,2,30,9,4,0,1,2,4,4,4,4,3,4,2,4,4,3,4,3,2,3,1,1,0,5.288267031,Not exposed,3.8,3.6,4
0,1,0,0,0,6,68,11,3,0,1,3,5,5,4,4,4,2,3,5,2,5,5,3,4,4,0,1,0,6.315358002,Exposed,3.8,4,0.4
0,1,0,0,0,6,22,10,2,0,1,4,3,3,3,3,4,3,2,4,3,4,3,4,2,3,1,1,0,6.923628628,Exposed,3.2,3.6,0.4
0,1,0,0,0,5,63,8,2,0,1,4,4,3,3,2,3,2,3,3,3,4,3,2,2,4,1,1,0,5.978885765,Not exposed,2.6,3,0.4
0,1,0,0,0,4,71,9,2,0,1,4,5,5,3,4,5,2,4,5,2,3,5,3,4,4,1,1,1,5.135798437,Exposed,3.8,3.6,0.999597785
0,1,0,0,0,5,50,13,1,0,1,5,5,4,3,3,5,3,3,4,3,3,5,5,3,4,0,1,1,6.957497371,Exposed,3.6,4,0.4
0,0,0,1,0,4,64,7,4,0,1,5,5,5,4,5,5,4,4,5,2,5,5,4,4,4,0,1,0,6.293419279,Exposed,4.6,4.2,3.32815626
0,1,0,0,0,4,69,4,4,0,1,4,4,3,2,3,5,2,3,3,1,3,5,2,3,3,1,1,1,9.331584079,Exposed,3,2.8,1.322299
0,1,0,0,0,2,28,6,3,0,1,4,5,4,4,4,4,3,3,4,3,4,4,3,3,3,1,0,0,4.983606622,Not exposed,3.8,3.6,1.224056878
0,1,0,0,0,4,67,10,2,0,1,5,4,3,2,3,5,3,3,3,1,3,4,2,3,4,0,1,0,7.504391559,Not exposed,3.2,2.6,0.999597785
0,1,0,0,0,5,57,5,2,0,1,4,4,4,3,4,3,4,2,3,4,5,4,3,2,3,0,0,0,4.605170186,Not exposed,3.6,3.8,0.4
0,1,0,0,0,5,43,9,1,0,1,5,3,4,3,3,4,3,2,2,3,3,2,3,1,3,0,1,0,5.774551546,Not exposed,3.4,2.6,0.4
0,1,0,0,0,1,57,6,3,0,1,5,4,4,3,4,5,5,3,4,3,4,5,4,3,3,1,1,0,4.941642423,Not exposed,4.2,4,2.744954263
0,0,0,0,1,5,58,8,3,0,1,5,3,5,2,3,5,3,3,5,3,4,5,4,3,3,0,1,0,6.089044875,Exposed,3.6,4.2,0.442498766
0,1,0,0,0,2,65,3,3,0,1,5,5,5,2,4,5,5,4,5,2,4,5,5,4,4,0,0,0,4.927253685,Not exposed,4.2,4.2,2.317148317
0,1,0,0,0,5,50,12,2,0,1,5,5,5,1,3,5,3,4,5,1,2,5,3,4,4,1,1,1,7.985484357,Exposed,3.4,3.2,0.4
0,1,0,0,0,3,56,4,2,0,1,4,5,5,2,3,5,2,4,4,1,2,5,3,4,4,0,1,1,6.538139824,Exposed,3.4,3,0.571696829
0,1,0,0,0,4,60,6,3,0,1,5,4,4,3,4,5,3,3,4,2,3,4,2,3,4,0,1,0,2.302585093,Not exposed,3.8,3,0.4
0,1,0,0,0,2,40,3,3,0,1,5,3,4,3,2,3,3,3,2,4,3,1,2,3,3,1,0,0,5.65248918,Not exposed,3,2.4,1.224056878
0,1,0,0,0,2,59,8,1,0,1,5,4,4,2,5,5,3,3,4,3,4,5,3,3,4,0,1,0,5.541263545,Not exposed,3.8,3.8,0.83927308
0,1,0,0,0,3,57,4,3,0,0,3,2,1,1,2,4,3,3,1,2,2,4,3,2,3,0,0,0,6.508769137,Exposed,2.2,2.4,0.4
0,1,0,0,0,5,29,5,4,1,0,3,4,4,2,2,2,2,1,2,2,1,2,3,3,3,1,0,0,6.588926478,Not exposed,2.4,2,0.662525874
1,1,0,0,0,4,64,8,4,0,0,3,4,2,2,3,4,3,2,2,3,3,3,4,2,4,1,1,0,7.132497552,Exposed,2.8,3,0.731989857
0,1,0,0,0,5,23,12,2,0,0,1,5,2,2,2,1,2,2,1,1,1,1,1,2,4,0,0,0,5.384495063,Not exposed,1.8,1,0.4
0,1,0,0,0,6,80,12,2,1,0,1,4,1,2,3,4,3,1,3,3,3,3,4,1,4,0,1,1,8.177796683,Exposed,2.6,3.2,0.680178933
0,1,0,0,0,5,67,9,3,0,0,3,4,2,2,2,2,3,1,1,2,3,3,3,1,4,1,0,0,5.147494477,Not exposed,2.2,2.4,0.553481482
0,1,0,0,0,5,75,5,3,0,0,2,5,1,2,2,4,3,2,2,3,4,4,3,1,4,1,0,0,4.86753445,Not exposed,2.4,3.2,0.553481482
1,1,0,0,0,5,71,2,1,1,0,1,5,2,2,2,4,2,2,1,2,2,3,3,2,4,0,1,0,5.723585102,Not exposed,2.4,2.2,0.748937823
0,1,0,0,0,4,76,12,3,1,0,3,5,1,2,1,4,2,2,1,2,2,4,2,1,4,0,0,0,7.87397838,Not exposed,2,2.2,0.585406319
0,1,0,0,0,6,85,12,4,0,0,4,5,2,2,3,3,3,1,2,3,4,4,3,2,4,0,1,1,8.109826276,Exposed,2.6,3.2,0.898553283
1,1,0,0,0,3,54,8,2,1,0,3,4,2,2,3,3,3,1,3,4,4,4,4,1,4,0,0,0,5.517452896,Exposed,2.6,3.8,0.820018541
0,1,0,0,0,5,32,5,3,1,0,3,4,4,3,4,5,4,2,1,2,4,4,3,2,4,0,0,0,5.049856007,Not exposed,4,2.8,0.4
1,1,0,0,0,5,31,12,2,1,0,3,3,3,3,3,4,3,2,3,3,3,4,3,2,3,0,0,0,7.116394144,Not exposed,3.2,3.2,0.719800341
0,1,0,0,0,3,59,9,1,1,0,2,4,2,1,2,5,3,2,2,2,3,5,2,2,4,0,0,0,3.33220451,Not exposed,2.6,2.8,0.4
0,1,0,0,0,5,26,5,3,1,0,1,5,1,1,1,1,1,2,1,1,1,1,1,3,4,1,1,0,7.53796266,Not exposed,1,1,0.4
0,1,0,0,0,2,70,2,3,0,0,5,5,4,2,3,5,3,3,5,2,3,5,3,3,4,1,1,1,6.317164687,Exposed,3.4,3.6,2.317148317
0,0,0,1,0,3,52,2,3,0,0,3,5,4,3,5,5,3,3,5,2,5,5,3,4,4,1,1,1,7.151485464,Exposed,4,4,2.173169111
1,1,0,0,0,3,35,5,3,1,0,2,5,1,1,1,2,2,2,1,2,2,3,3,2,4,1,1,1,8.913011922,Exposed,1.4,2.2,0.660000057
0,1,0,0,0,6,61,8,1,0,0,2,4,1,2,2,4,3,2,1,2,3,4,2,2,4,0,1,0,7.377758908,Not exposed,2.4,2.4,0.4
1,1,0,0,0,4,57,8,1,0,1,5,4,4,2,4,4,3,2,3,3,3,4,3,3,3,1,1,0,7.61085279,Exposed,3.4,3.2,0.4
0,1,0,0,0,6,43,11,3,0,1,3,5,5,5,5,5,5,1,4,5,5,5,4,1,4,0,0,0,3.871201011,Not exposed,5,4.6,0.4
0,1,0,0,0,6,59,11,1,0,0,3,5,1,2,5,3,1,3,1,1,5,4,1,2,4,1,1,1,8.104401308,Exposed,2.4,2.4,0.4
0,1,0,0,0,5,45,3,4,0,0,3,5,1,2,2,3,3,2,1,2,2,3,3,2,4,1,1,0,8.56902634,Exposed,2.2,2.2,0.482938253
1,1,0,0,0,2,50,6,3,0,1,4,3,4,2,2,5,4,3,4,2,2,5,2,3,3,0,1,0,4.691347882,Exposed,3.4,3,1.278788584
1,1,0,0,0,3,60,3,4,0,0,3,3,2,2,3,4,3,2,2,2,4,5,3,2,3,0,0,0,4.65396035,Not exposed,2.8,3.2,1.084066551
1,0,0,1,0,4,31,2,3,1,0,2,3,3,2,3,4,3,2,3,3,3,3,3,2,3,0,0,0,1.386294361,Not exposed,3,3,2.905742854
1,1,0,0,0,5,33,11,1,1,0,1,5,1,2,2,1,2,3,1,3,3,1,3,2,3,1,0,0,7.950854858,Not exposed,1.6,2.2,0.4
0,1,0,0,0,3,62,4,1,0,1,5,5,5,3,4,5,3,4,3,1,3,4,2,3,3,1,0,0,5.765191103,Not exposed,4,2.6,0.4
1,1,0,0,0,3,43,4,3,0,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,0,1,1,6.208590026,Exposed,2.8,3,0.660000057
1,1,0,0,0,5,73,9,4,1,0,2,5,1,1,2,3,3,2,1,1,2,3,3,2,4,0,1,0,5.85220248,Not exposed,2,2,1.79814082
1,1,0,0,0,5,35,11,4,1,0,2,4,2,2,3,4,2,3,2,2,3,4,3,2,3,1,1,0,6.133398043,Not exposed,2.6,2.8,0.951115622
1,1,0,0,0,2,52,3,4,0,1,4,3,5,4,4,5,3,2,3,3,3,4,3,3,3,0,0,0,5.823045895,Not exposed,4.2,3.2,2.906103769
0,0,0,0,0,5,65,3,4,1,0,1,4,1,2,3,2,2,1,1,2,3,4,4,1,4,0,0,0,6.061456919,Exposed,2,2.8,0.56826761
0,1,0,0,0,3,62,9,1,1,0,1,5,1,1,1,5,4,2,1,1,2,5,4,1,4,0,1,0,6.350885717,Exposed,2.4,2.6,0.4
1,1,0,0,0,5,22,6,3,1,0,2,4,3,3,3,4,3,2,2,3,3,4,3,2,4,1,1,0,7.818832444,Exposed,3.2,3,0.4
0,1,0,0,0,5,50,11,2,0,0,1,4,1,2,1,2,2,3,1,2,1,2,2,3,4,1,0,0,7.175489714,Not exposed,1.6,1.6,0.4
0,1,0,0,0,5,35,12,1,1,0,1,5,1,2,3,4,2,1,2,3,4,5,2,2,4,1,1,0,7.054449658,Exposed,2.4,3.2,0.4
0,1,0,0,0,4,63,9,3,1,0,1,5,2,3,3,4,3,2,1,3,4,3,2,2,4,0,0,0,4.890349128,Not exposed,3,2.6,0.4
0,0,0,1,0,5,40,7,1,0,0,2,1,2,2,2,2,2,3,2,2,2,2,2,4,2,0,0,0,3.912023005,Not exposed,2,2,1.796768685
0,1,0,0,0,6,52,2,3,0,0,3,2,2,2,2,4,4,2,2,1,3,4,2,3,3,0,1,0,6.352629396,Exposed,2.8,2.4,0.4
0,0,0,0,0,6,54,5,2,0,0,5,3,3,3,3,3,3,3,4,3,3,4,3,2,3,0,0,0,3.583518938,Exposed,3,3.4,0.4
1,1,0,0,0,5,28,8,1,1,0,1,5,2,2,3,2,2,2,3,3,3,3,2,2,4,1,0,0,6.689599269,Not exposed,2.2,2.8,0.4
1,1,0,0,0,5,33,6,1,1,0,1,3,1,1,1,1,1,3,1,2,2,1,1,2,3,1,0,0,5.272999559,Not exposed,1,1.4,0.4
1,1,0,0,0,6,66,7,4,0,0,3,5,1,1,4,5,3,1,1,4,5,5,4,1,4,1,1,0,6.354370041,Exposed,2.8,3.8,1.291783124
1,0,0,1,0,4,31,1,1,1,0,1,1,1,1,1,2,2,4,2,1,3,4,2,2,1,0,0,0,5.236441963,Not exposed,1.4,2.4,2.740008257
1,1,0,0,0,2,54,2,1,0,0,3,5,1,1,1,1,1,4,1,1,1,1,1,3,3,1,0,0,5.855071922,Exposed,1,1,1.20622171
0,0,0,1,0,5,41,7,3,1,0,3,4,3,3,4,4,4,2,4,3,5,3,3,2,4,0,1,0,5.579729826,Not exposed,3.6,3.6,1.905207511
0,0,1,0,0,3,63,12,2,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,0,0,0,7.270312886,Exposed,1,1,0.895831235
0,1,0,0,0,5,35,12,4,1,0,1,5,4,4,4,4,4,2,4,4,4,4,3,2,4,1,0,0,7.821242084,Exposed,4,3.8,0.662525874
